feature_idx,importance
236,0.05187777
237,0.046010762
238,0.062384512
239,0.047081184
240,0.0569068
241,0.04284138
242,0.045321144
243,0.060660418
244,0.032367446
245,0.059732653
246,0.05663421
247,0.04449679
248,0.05021896
249,0.049612537
250,0.044111546
251,0.06324559
252,0.028257836
253,0.07816604
254,0.03757532
255,0.062748335
256,0.06058082
257,0.048355002
258,0.04801076
259,0.04290534
260,0.09405151
261,0.04212849
262,0.038176935
263,0.059255254
264,0.13713595
265,0.05641022
266,0.18856806
267,0.056054376
268,0.05105346
269,0.052428823
270,0.06535372
271,0.045192268
272,0.041135237
273,0.036799792
274,0.06582712
275,0.04286999
276,0.08251212
277,0.05578997
278,0.07786915
279,0.04527806
280,0.04912523
281,0.060499653
282,0.069438644
283,0.05546596
284,0.065503076
285,0.07066289
286,0.06770986
287,0.04519472
288,0.036495734
289,0.0721867
290,0.036241777
291,0.064112425
292,0.04853783
293,0.07055579
294,0.05105338
295,0.058876824
296,0.06453553
297,0.03937488
298,0.05515749
299,0.06059746
300,0.042737152
301,0.07604951
302,0.06171435
303,0.034030028
304,0.04700242
305,0.074065275
306,0.052422795
307,0.06720311
308,0.0852957
309,0.050134994
310,0.07102739
311,0.066850916
312,0.053981416
313,0.04833085
314,0.10069244
315,0.078036994
316,0.07529286
317,0.07824438
318,0.056123845
319,0.04661134
320,0.05739035
321,0.042492963
322,0.031303182
323,0.04052409
324,0.06973231
325,0.058900293
326,0.06145542
327,0.051663194
328,0.03302264
329,0.02768318
330,0.05318532
331,0.04370212
332,0.054891095
333,0.051114805
334,0.06330344
335,0.07206913
336,0.0795836
337,0.07206561
338,0.06325041
339,0.08103822
340,0.10924509
341,0.056516007
342,0.04214975
343,0.052490223
344,0.03662568
345,0.06830535
346,0.052232344
347,0.062071774
348,0.046667665
349,0.052435488
350,0.058307298
351,0.05603544
352,0.041996986
353,0.04943894
354,0.04729799
355,0.06988722
356,0.057478063
357,0.048507564
358,0.050939035
359,0.077319674
360,0.04614027
361,0.08255338
362,0.04571417
363,0.048896916
364,0.056938548
365,0.051370908
366,0.066907465
367,0.059631024
368,0.044669032
369,0.05429664
370,0.05525081
371,0.0378848
372,0.04192731
373,0.039263383
374,0.08924221
375,0.058536798
376,0.0562846
377,0.047787502
378,0.04226874
379,0.06434366
380,0.041118186
381,0.026932454
382,0.05318889
383,0.05630339
384,0.057853106
385,0.056128312
386,0.034341007
387,0.04369426
388,0.05642926
389,0.03532791
390,0.07182652
391,0.02883413
392,0.050410748
393,0.060948323
394,0.03071715
395,0.03282961
396,0.06418055
397,0.054854743
398,0.074829906
399,0.044598516
400,0.035023738
401,0.055477835
402,0.052676946
403,0.04819617
404,0.030343894
405,0.057044007
406,0.053201057
407,0.036393385
408,0.04050629
409,0.063908145
410,0.04515376
411,0.0690718
412,0.044277344
413,0.04416596
414,0.05883195
415,0.056107096
416,0.05479515
417,0.02638139
418,0.037381053
419,0.07459107
420,0.046257637
421,0.04734785
422,0.054262042
423,0.047335047
424,0.037380304
425,0.059470102
426,0.043406837
427,0.030203143
428,0.048559953
429,0.04030626
430,0.06760337
431,0.054223098
432,0.038552776
433,0.05000651
434,0.040536612
435,0.043941822
436,0.0800685
437,0.053018726
438,0.037200388
439,0.041870553
440,0.04894223
441,0.042086024
442,0.063474685
443,0.045286987
444,0.058109105
445,0.043174215
446,0.03389615
447,0.06565487
448,0.057744954
449,0.054197907
450,0.036020886
451,0.0570197
452,0.058158524
453,0.077641845
454,0.059825
455,0.04247996
456,0.06711154
457,0.06640571
458,0.046950698
459,0.064395495
460,0.06645944
461,0.051316194
462,0.039896216
463,0.07854127
464,0.0392549
465,0.051331263
466,0.07553349
467,0.07365026
468,0.06431539
469,0.050549287
470,0.03841798
471,0.059528094
472,0.0692305
473,0.06210072
474,0.09241015
475,0.076682664
476,0.07241801
477,0.065447606
478,0.03604396
479,0.049314857
480,0.055359896
481,0.07301105
482,0.077519365
483,0.0901271
484,0.038723093
485,0.06426307
486,0.06960432
487,0.042263668
488,0.042640302
489,0.043553457
490,0.055721324
491,0.06773514
492,0.038638253
493,0.040277604
494,0.06945978
495,0.039701864
496,0.060050886
497,0.06690906
498,0.050671604
499,0.05934001
500,0.056722227
501,0.041088533
502,0.07413768
503,0.041988406
504,0.06336798
505,0.072683714
506,0.05210067
507,0.041127093
508,0.069158636
509,0.052702926
510,0.04377884
511,0.09865946
512,0.03942805
513,0.043245204
514,0.0358647
515,0.046375483
516,0.059347395
517,0.053414
518,0.06041069
519,0.03598233
520,0.035596676
521,0.039467655
522,0.040783063
523,0.07084927
524,0.054814644
525,0.045448087
526,0.049660698
527,0.07008115
528,0.058267828
529,0.044312216
530,0.058534145
531,0.044235203
532,0.059616964
533,0.082788505
534,0.09045181
535,0.043454338
536,0.04847572
537,0.034145724
538,0.08351786
539,0.07191268
540,0.04550764
541,0.0618702
542,0.059957393
543,0.059141103
544,0.07721236
545,0.05727514
546,0.051595073
547,0.0553735
548,0.08535846
549,0.080685996
550,0.08329677
551,0.097778864
552,0.03865834
553,0.05751101
554,0.043052766
555,0.052335054
556,0.03410303
557,0.05791018
558,0.04864405
559,0.07494225
560,0.056896433
561,0.03177139
562,0.046215456
563,0.063193545
564,0.0459596
565,0.051683623
566,0.08088263
567,0.055860434
568,0.04652898
569,0.049669754
570,0.050113585
571,0.069268465
572,0.047773074
573,0.04840002
574,0.045379613
575,0.058104847
576,0.023270367
577,0.050638705
578,0.06875795
579,0.06405344
580,0.065778755
581,0.04610073
582,0.066796064
583,0.05771933
584,0.046261333
585,0.08042197
586,0.055321936
587,0.048170052
588,0.08830661
589,0.04155804
590,0.06762838
591,0.067277916
592,0.057160262
593,0.046470955
594,0.02978495
595,0.052960947
596,0.059605572
597,0.076137684
598,0.052901547
599,0.06007021
600,0.060856443
601,0.07101144
602,0.034819357
603,0.05748982
604,0.06271109
605,0.049067017
606,0.06396676
607,0.101197086
608,0.047161784
609,0.094129644
610,0.045286514
611,0.053240903
612,0.06570524
613,0.064218566
614,0.055997618
615,0.06748681
616,0.07628092
617,0.050195333
618,0.03983921
619,0.052312825
620,0.040658608
621,0.0460826
622,0.06519857
623,0.04430981
624,0.04526235
625,0.049895532
626,0.03589477
627,0.08746192
628,0.054658048
629,0.041820053
630,0.039127063
631,0.0475468
632,0.10524228
633,0.055872515
634,0.041134857
635,0.029770128
636,0.048094135
637,0.056738753
638,0.05895223
639,0.05238402
640,0.08074173
641,0.045603015
642,0.060473517
643,0.045443416
644,0.049631353
645,0.058655348
646,0.05361045
647,0.03170158
648,0.035205744
649,0.048178338
650,0.063776344
651,0.07547071
652,0.05701566
653,0.06473957
654,0.076514095
655,0.07567174
